Base,Tail Number,Min Quantity,Max Quantity,JETA Fuel Cost,Into Plane,Discount,County Fee,Federal Excise Tax JetA,FET Addon,Flow Fee,Jet Concession Fee,Jet Conc/AR FF Fee,M & O Fee,Misc,PAFCO Fuel Surcharge,PAFCO Truck Fee,Pipeline Fee,PPD Billed Freight,PPD Freight Surcharge,State and Local Taxes,State Clean Fee,STATE ENVIRON/OIL SPILL,State Fuel Tax,State Inspection Fee,State Oil Transfer/UST,Freight,US Federal Oil Spill,Sub Total ($),Tax Rate (%),Tax Amount ($),Total
OAK,,1201,999999,3.6560,0.9010,0.0000,,0.2180,0.0250,,0.2100,,,,0.0167,0.0398,0.0067,0.0000,,,,,0.0200,,,0.0010,0.0021,5.0963,10.2500,0.5224,5.6187
OCJ,,1,999999 ,6.3000,,0.0000,,,,,,,,,,,,,,,,,,,,,,6.3000,,0.0000,6.3000
OGG,,1,1999,3.3461,1.1900,0.0000,,0.2180,0.0250,,0.2400,,,0.1830,0.0518,0.0250,0.0060,0.0286,0.0125,0.0100,,,,,,0.0010,0.0021,5.3391,4.1660,0.2148,5.5539
OGG,,2000,2999,3.3461,1.1660,0.0000,,0.2180,0.0250,,0.2400,,,0.1830,0.0518,0.0250,0.0060,0.0286,0.0125,0.0100,,,,,,0.0010,0.0021,5.3151,4.1660,0.2138,5.5289
OGG,,3000,3999,3.3461,1.1420,0.0000,,0.2180,0.0250,,0.2400,,,0.1830,0.0518,0.0250,0.0060,0.0286,0.0125,0.0100,,,,,,0.0010,0.0021,5.2911,4.1660,0.2128,5.5039
OGG,,4000,4999,3.3461,1.1190,0.0000,,0.2180,0.0250,,0.2400,,,0.1830,0.0518,0.0250,0.0060,0.0286,0.0125,0.0100,,,,,,0.0010,0.0021,5.2681,4.1660,0.2118,5.4799
OGG,,5000,999999,3.3461,1.0950,0.0000,,0.2180,0.0250,,0.2400,,,0.1830,0.0518,0.0250,0.0060,0.0286,0.0125,0.0100,,,,,,0.0010,0.0021,5.2441,4.1660,0.2108,5.4549
OMA,,1,300,4.4363,1.3280,0.0000,,0.2180,0.0250,,0.0700,,,,0.0112,0.0267,0.0000,0.0000,,,,0.0030,0.0300,,,0.0010,0.0021,6.1513,7.0000,0.0000,6.1513
OMA,,301,1200,4.4363,1.3010,0.0000,,0.2180,0.0250,,0.0700,,,,0.0112,0.0267,0.0000,0.0000,,,,0.0030,0.0300,,,0.0010,0.0021,6.1243,7.0000,0.0000,6.1243
OMA,,1201,999999,4.4363,1.2750,0.0000,,0.2180,0.0250,,0.0700,,,,0.0112,0.0267,0.0000,0.0000,,,,0.0030,0.0300,,,0.0010,0.0021,6.0983,7.0000,0.0000,6.0983
OPF,,1,500,3.7357,0.8850,0.0000,,0.2180,0.0250,,0.1000,,,,0.0151,0.0359,0.0000,0.0000,,,,0.0210,0.0427,,,0.0010,0.0021,5.0815,7.0000,0.0000,5.0815
OPF,,501,1200,3.7357,0.8670,0.0000,,0.2180,0.0250,,0.1000,,,,0.0151,0.0359,0.0000,0.0000,,,,0.0210,0.0427,,,0.0010,0.0021,5.0635,7.0000,0.0000,5.0635
OPF,,1201,999999,3.7357,0.8500,0.0000,,0.2180,0.0250,,0.1000,,,,0.0151,0.0359,0.0000,0.0000,,,,0.0210,0.0427,,,0.0010,0.0021,5.0465,7.0000,0.0000,5.0465
ORD,,1,300,3.7983,4.5320,0.0000,0.0500,0.2180,0.0250,0.0399,0.0400,,,,0.0126,0.0300,0.0000,0.0000,,,,,,,,0.0010,0.0021,8.7489,8.5000,0.7437,9.4926
ORD,,301,1200,3.7983,4.4410,0.0000,0.0500,0.2180,0.0250,0.0399,0.0400,,,,0.0126,0.0300,0.0000,0.0000,,,,,,,,0.0010,0.0021,8.6579,8.5000,0.7359,9.3938
ORD,,1201,999999,3.7983,4.3510,0.0000,0.0500,0.2180,0.0250,0.0399,0.0400,,,,0.0126,0.0300,0.0000,0.0000,,,,,,,,0.0010,0.0021,8.5679,8.5000,0.7283,9.2962
ORF,,1,300,3.6819,2.8780,0.0000,,0.2180,0.0250,,0.0800,,,,0.0308,0.0217,0.0000,0.0000,,,,,0.0500,,,0.0010,0.0021,6.9885,6.0000,0.0000,6.9885
ORF,,301,1200,3.6819,2.8200,0.0000,,0.2180,0.0250,,0.0800,,,,0.0308,0.0217,0.0000,0.0000,,,,,0.0500,,,0.0010,0.0021,6.9305,6.0000,0.0000,6.9305
ORF,,1201,999999,3.6819,1.9500,0.0000,,0.2180,0.0250,,0.0800,,,,0.0308,0.0217,0.0000,0.0000,,,,,0.0500,,,0.0010,0.0021,6.0605,6.0000,0.0000,6.0605
PBI,,1,500,3.6800,1.2290,0.0000,,0.2180,0.0250,,0.0500,,,0.1300,0.0120,0.0285,0.0000,0.0000,,,,0.0210,0.0427,,,0.0010,0.0021,5.4393,7.0000,0.0000,5.4393
PBI,,501,1200,3.6800,1.2040,0.0000,,0.2180,0.0250,,0.0500,,,0.1300,0.0120,0.0285,0.0000,0.0000,,,,0.0210,0.0427,,,0.0010,0.0021,5.4143,7.0000,0.0000,5.4143
PBI,,1201,999999,3.6800,1.1800,0.0000,,0.2180,0.0250,,0.0500,,,0.1300,0.0120,0.0285,0.0000,0.0000,,,,0.0210,0.0427,,,0.0010,0.0021,5.3903,7.0000,0.0000,5.3903
PDK,,1,300,3.5288,1.7260,0.0000,,0.2180,0.0250,,0.1400,,,,0.0116,0.0275,0.0478,0.0000,,,,,,,,0.0010,0.0021,5.7278,1.0000,0.0572,5.7850
PDK,,301,1200,3.5288,1.6910,0.0000,,0.2180,0.0250,,0.1400,,,,0.0116,0.0275,0.0478,0.0000,,,,,,,,0.0010,0.0021,5.6928,1.0000,0.0568,5.7496
PDK,,1201,999999,3.5288,1.6570,0.0000,,0.2180,0.0250,,0.1400,,,,0.0116,0.0275,0.0478,0.0000,,,,,,,,0.0010,0.0021,5.6588,1.0000,0.0565,5.7153
PHK,,1,999999 ,8.4870,,0.0000,,,,,,,,,,,,,,,,,,,,,,8.4870,,0.0000,8.4870
PIE,,1,300,3.7044,1.5090,0.0000,,0.2180,0.0250,,0.0700,,,,0.0105,0.0250,0.0000,0.0013,,,,0.0210,0.0427,,,0.0010,0.0021,5.6300,7.0000,0.0000,5.6300
PIE,,301,1200,3.7044,1.4790,0.0000,,0.2180,0.0250,,0.0700,,,,0.0105,0.0250,0.0000,0.0013,,,,0.0210,0.0427,,,0.0010,0.0021,5.6000,7.0000,0.0000,5.6000
PIE,,1201,999999,3.7044,1.4490,0.0000,,0.2180,0.0250,,0.0700,,,,0.0105,0.0250,0.0000,0.0013,,,,0.0210,0.0427,,,0.0010,0.0021,5.5700,7.0000,0.0000,5.5700
PSP,,1,500,3.3972,2.0250,0.0000,,0.2180,0.0250,,0.0746,,,,0.0325,0.0773,0.0000,0.0000,,0.0200,,,,,,0.0010,0.0021,5.8727,9.2500,0.5432,6.4159
PSP,,501,1200,3.3972,1.9840,0.0000,,0.2180,0.0250,,0.0746,,,,0.0325,0.0773,0.0000,0.0000,,0.0200,,,,,,0.0010,0.0021,5.8317,9.2500,0.5394,6.3711
PSP,,1201,999999,3.3972,1.9440,0.0000,,0.2180,0.0250,,0.0746,,,,0.0325,0.0773,0.0000,0.0000,,0.0200,,,,,,0.0010,0.0021,5.7917,9.2500,0.5357,6.3274
PVU,,1,300,3.6147,1.9000,0.0000,,0.2180,0.0250,,0.0800,,,,0.0227,0.0547,0.0000,0.0000,,0.0900,,,,0.0065,,0.0010,0.0021,6.0147,0.0000,0.0000,6.0147
PVU,,301,1200,3.6147,1.7500,0.0000,,0.2180,0.0250,,0.0800,,,,0.0227,0.0547,0.0000,0.0000,,0.0900,,,,0.0065,,0.0010,0.0021,5.8647,0.0000,0.0000,5.8647
PVU,,1201,999999,3.6147,1.6500,0.0000,,0.2180,0.0250,,0.0800,,,,0.0227,0.0547,0.0000,0.0000,,0.0900,,,,0.0065,,0.0010,0.0021,5.7647,0.0000,0.0000,5.7647
PWK,,1,300,3.8088,1.4500,0.0000,,0.2180,0.0250,,0.2500,,,,0.0126,0.0300,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.7975,8.2500,0.4773,6.2748
PWK,,301,1200,3.8088,1.4210,0.0000,,0.2180,0.0250,,0.2500,,,,0.0126,0.0300,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.7685,8.2500,0.4749,6.2434
PWK,,1201,999999,3.8088,1.3920,0.0000,,0.2180,0.0250,,0.2500,,,,0.0126,0.0300,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.7395,8.2500,0.4725,6.2120
RDU,,1,300,3.5931,1.4540,0.0000,,0.2180,0.0000,0.0200,0.1000,,,,0.0000,0.0000,0.0414,0.0000,,,,,,0.0030,,0.0010,0.0021,5.4326,7.0000,0.3803,5.8129
RDU,,301,1200,3.5931,1.4250,0.0000,,0.2180,0.0000,0.0200,0.1000,,,,0.0000,0.0000,0.0414,0.0000,,,,,,0.0030,,0.0010,0.0021,5.4036,7.0000,0.3783,5.7819
RDU,,1201,999999,3.5931,1.3000,0.0000,,0.2180,0.0000,0.0200,0.1000,,,,0.0000,0.0000,0.0414,0.0000,,,,,,0.0030,,0.0010,0.0021,5.2786,7.0000,0.3695,5.6481
ROA,,1,300,3.6587,3.0500,0.0000,,0.2180,0.0250,,0.0400,,,,0.0331,0.0789,0.0473,0.0000,,,,,0.0500,,,0.0010,0.0021,7.2041,5.3000,0.0000,7.2041
ROA,,301,1200,3.6587,2.9600,0.0000,,0.2180,0.0250,,0.0400,,,,0.0331,0.0789,0.0473,0.0000,,,,,0.0500,,,0.0010,0.0021,7.1141,5.3000,0.0000,7.1141
ROA,,1201,999999,3.6587,2.6500,0.0000,,0.2180,0.0250,,0.0400,,,,0.0331,0.0789,0.0473,0.0000,,,,,0.0500,,,0.0010,0.0021,6.8041,5.3000,0.0000,6.8041
RST,,1,300,3.6394,3.3030,0.0000,,0.2180,0.0250,,0.0500,,,,0.0226,0.0538,0.0292,0.0000,,0.1500,,,,0.0010,,0.0010,0.0021,7.4951,8.1250,0.0000,7.4951
RST,,301,1200,3.6394,3.2370,0.0000,,0.2180,0.0250,,0.0500,,,,0.0226,0.0538,0.0292,0.0000,,0.1500,,,,0.0010,,0.0010,0.0021,7.4291,8.1250,0.0000,7.4291
RST,,1201,999999,3.6394,3.1710,0.0000,,0.2180,0.0250,,0.0500,,,,0.0226,0.0538,0.0292,0.0000,,0.1500,,,,0.0010,,0.0010,0.0021,7.3631,8.1250,0.0000,7.3631
SAF,,1,300,4.5065,1.7300,0.0000,,0.2180,0.0250,,0.1000,,,,0.0180,0.0428,0.0000,0.0000,,,,,,,,0.0010,0.0021,6.6434,13.3000,0.3255,6.9689
SAF,,301,1200,4.5065,1.6500,0.0000,,0.2180,0.0250,,0.1000,,,,0.0180,0.0428,0.0000,0.0000,,,,,,,,0.0010,0.0021,6.5634,13.3000,0.3215,6.8849
SAF,,1201,999999,4.5065,1.5400,0.0000,,0.2180,0.0250,,0.1000,,,,0.0180,0.0428,0.0000,0.0000,,,,,,,,0.0010,0.0021,6.4534,13.3000,0.3160,6.7694
SAN,,1,500,3.4165,4.3240,0.0000,,0.2180,0.0250,,0.0500,,,0.1630,0.0000,0.0000,0.0485,0.0000,,0.0200,,,,,,0.0010,0.0021,8.2681,7.7500,0.6408,8.9089
SAN,,501,1200,3.4165,4.2380,0.0000,,0.2180,0.0250,,0.0500,,,0.1630,0.0000,0.0000,0.0485,0.0000,,0.0200,,,,,,0.0010,0.0021,8.1821,7.7500,0.6341,8.8162
SAN,,1201,999999,3.4165,4.1510,0.0000,,0.2180,0.0250,,0.0500,,,0.1630,0.0000,0.0000,0.0485,0.0000,,0.0200,,,,,,0.0010,0.0021,8.0951,7.7500,0.6274,8.7225
SAT,,1,300,3.6894,1.3070,0.0000,,0.2180,0.0250,,0.0750,,,,0.0083,0.0197,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.3455,0.0000,0.0000,5.3455
SAT,,301,1200,3.6894,1.2810,0.0000,,0.2180,0.0250,,0.0750,,,,0.0083,0.0197,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.3195,0.0000,0.0000,5.3195
SAT,,1201,999999,3.6894,1.2550,0.0000,,0.2180,0.0250,,0.0750,,,,0.0083,0.0197,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.2935,0.0000,0.0000,5.2935
SAT2,,1,300,3.6894,1.3070,0.0000,,0.2180,0.0250,,0.0750,,,,0.0083,0.0197,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.3455,0.0000,0.0000,5.3455
SAT2,,301,1200,3.6894,1.2810,0.0000,,0.2180,0.0250,,0.0750,,,,0.0083,0.0197,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.3195,0.0000,0.0000,5.3195
SAT2,,1201,999999,3.6894,1.2550,0.0000,,0.2180,0.0250,,0.0750,,,,0.0083,0.0197,0.0000,0.0000,,,,,,,,0.0010,0.0021,5.2935,0.0000,0.0000,5.2935
SAV,,1,300,3.6628,1.6500,0.0000,,0.2180,0.0250,,0.0500,,,,0.0452,0.1075,0.0460,0.0000,,,,,,,,0.0010,0.0021,5.8076,1.0000,0.0576,5.8652
SAV,,301,1200,3.6628,1.6170,0.0000,,0.2180,0.0250,,0.0500,,,,0.0452,0.1075,0.0460,0.0000,,,,,,,,0.0010,0.0021,5.7746,1.0000,0.0573,5.8319
SAV,,1201,999999,3.6628,1.5840,0.0000,,0.2180,0.0250,,0.0500,,,,0.0452,0.1075,0.0460,0.0000,,,,,,,,0.0010,0.0021,5.7416,1.0000,0.0570,5.7986
SBA,,1,300,3.4102,2.0450,0.0000,,0.2180,0.0250,,0.0900,,,,0.0344,0.0820,0.0000,0.0000,,0.0200,,,,,,0.0010,0.0021,5.9277,17.5000,0.5187,6.4464
SBA,,301,1200,3.4102,2.0040,0.0000,,0.2180,0.0250,,0.0900,,,,0.0344,0.0820,0.0000,0.0000,,0.0200,,,,,,0.0010,0.0021,5.8867,17.5000,0.5151,6.4018
SBA,,1201,999999,3.4102,1.9630,0.0000,,0.2180,0.0250,,0.0900,,,,0.0344,0.0820,0.0000,0.0000,,0.0200,,,,,,0.0010,0.0021,5.8457,17.5000,0.5115,6.3572
SD1,,1,999999 ,3.2837,0.0000,,,0.2180,0.0250,,0.1000,,,,0.0135,0.0322,0.0505,0.0000,,0.0180,,,0.0336,,,0.0010,,3.7755,,0.0000,3.7755
SDL,,1,500,3.4084,1.9530,0.0000,,0.2180,0.0250,,0.1100,,,,0.0135,0.0322,0.0505,0.0000,,0.0516,,,,,,0.0010,0.0021,5.8653,8.0500,0.0000,5.8653
SDL,,501,1200,3.4084,1.9140,0.0000,,0.2180,0.0250,,0.1100,,,,0.0135,0.0322,0.0505,0.0000,,0.0516,,,,,,0.0010,0.0021,5.8263,8.0500,0.0000,5.8263
SDL,,1201,999999,3.4084,1.8750,0.0000,,0.2180,0.0250,,0.1100,,,,0.0135,0.0322,0.0505,0.0000,,0.0516,,,,,,0.0010,0.0021,5.7873,8.0500,0.0000,5.7873
SEA,,1,500,3.4964,2.5190,,,0.2180,0.0250,,0.0000,,,0.0271,0.0000,0.0000,0.1531,0.0000,,,,0.0098,0.1800,,,0.0010,0.0021,6.6315,10.1000,0.6688,7.3003
SEA,,501,1200,3.4964,2.4690,,,0.2180,0.0250,,0.0000,,,0.0271,0.0000,0.0000,0.1531,0.0000,,,,0.0098,0.1800,,,0.0010,0.0021,6.5815,10.1000,0.6637,7.2452
